Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.6,5.308,4.096
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.5,26.135,25.223
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.5,0.408,0.408
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.3,4.547,3.483
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.3,4.606,3.373
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.2,27.685,26.752
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.2,4.84,3.625
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.2,27.602,26.678
pre_6dsr_ompdc_Compound_134_uff_E=291.97_uff_E=291.35,-2.0,0.0,0.0
pre_6dsr_ompdc_Compound_134_uff_E=291.97_uff_E=291.35,-0.5,28.24,25.136
pre_6dsr_ompdc_Compound_135_uff_E=442.19_uff_E=441.86,-1.1,0.0,0.0
pre_6dsr_ompdc_Compound_136_uff_E=207.43_uff_E=206.36,-6.2,0.0,0.0
pre_6dsr_ompdc_Compound_136_uff_E=207.43_uff_E=206.36,-5.9,2.46,1.309
pre_6dsr_ompdc_Compound_136_uff_E=207.43_uff_E=206.36,-5.8,2.747,1.657
pre_6dsr_ompdc_Compound_136_uff_E=207.43_uff_E=206.36,-4.6,3.241,1.912
pre_6dsr_ompdc_Compound_136_uff_E=207.43_uff_E=206.36,-3.4,2.524,1.658
pre_6dsr_ompdc_Compound_137_uff_E=493.78_uff_E=489.60,11.8,0.0,0.0
pre_6dsr_ompdc_Compound_137_uff_E=493.78_uff_E=489.60,11.9,4.738,3.21
pre_6dsr_ompdc_Compound_137_uff_E=493.78_uff_E=489.60,12.6,27.323,24.769
pre_6dsr_ompdc_Compound_137_uff_E=493.78_uff_E=489.60,14.5,5.046,3.67
pre_6dsr_ompdc_Compound_137_uff_E=493.78_uff_E=489.60,14.7,27.379,24.709
pre_6dsr_ompdc_Compound_138_uff_E=667.46_uff_E=665.51,7.6,0.0,0.0
pre_6dsr_ompdc_Compound_139_uff_E=727.50_uff_E=727.41,2.8,0.0,0.0
pre_6dsr_ompdc_Compound_13_uff_E=430.12_uff_E=429.58,-5.1,0.0,0.0
pre_6dsr_ompdc_Compound_13_uff_E=430.12_uff_E=429.58,-4.5,1.664,1.21
pre_6dsr_ompdc_Compound_13_uff_E=430.12_uff_E=429.58,-3.0,2.091,1.476
pre_6dsr_ompdc_Compound_140_uff_E=788.70_uff_E=788.60,2.9,0.0,0.0
pre_6dsr_ompdc_Compound_140_uff_E=788.70_uff_E=788.60,4.6,27.675,24.911
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.5,0.0,0.0
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.3,4.404,3.271
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.3,5.27,3.603
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.1,27.235,26.063
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.0,5.853,4.434
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-6.0,27.484,26.392
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-5.9,5.663,4.294
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-5.7,5.463,3.978
pre_6dsr_ompdc_Compound_141_uff_E=328.85_uff_E=328.75,-5.2,4.244,2.92
pre_6dsr_ompdc_Compound_142_uff_E=386.44_uff_E=386.37,-6.2,0.0,0.0
pre_6dsr_ompdc_Compound_142_uff_E=386.44_uff_E=386.37,-3.2,1.44,1.145
